x,y,t,u,v,p
5.171717171717171269e+00,4.489795918367343042e-01,2.700000000000000178e+00,9.209112714588540971e-01,-4.720810297313091097e-01,-8.430049669805422807e-02
4.888888888888889284e+00,6.122448979591834650e-01,6.100000000000000533e+00,5.503345011547513543e-01,2.294231983797758931e-02,-4.399280047692066126e-02
5.454545454545454142e+00,4.489795918367343042e-01,2.200000000000000178e+00,7.792862842325694039e-01,-3.971008926330498179e-01,-4.941873845146638883e-02
5.383838383838384090e+00,-1.591836734693877542e+00,1.600000000000000089e+00,1.246122303781016738e+00,-2.200851052380333947e-02,-3.193135216224760042e-02
1.494949494949494806e+00,-4.489795918367347483e-01,4.000000000000000222e-01,5.718945878432080132e-01,3.481175704544834382e-01,-4.760052587206865526e-01
3.898989898989898784e+00,-9.387755102040817867e-01,1.500000000000000000e+00,5.302750035829697506e-01,-1.013313372023088438e-01,3.432053821188493781e-02
4.535353535353534582e+00,6.122448979591834650e-01,3.100000000000000089e+00,9.650040401418416014e-01,-7.254010112768552454e-02,-2.202253024998553077e-01
7.292929292929292373e+00,6.122448979591834650e-01,6.400000000000000355e+00,9.401857414172928307e-01,1.337168235391582305e-01,-1.875204486129904147e-01
7.646464646464646187e+00,1.265306122448979220e+00,5.000000000000000000e+00,9.180442671201720639e-01,-2.459589821208923999e-01,-5.191925452374453881e-03
3.050505050505050608e+00,-1.346938775510204245e+00,0.000000000000000000e+00,1.039698333615909576e+00,-1.545892153858565155e-01,3.439624825410176473e-02
6.656565656565656575e+00,5.306122448979588846e-01,6.200000000000000178e+00,8.611394447008224873e-01,4.782803191087832140e-01,-1.238340432093707338e-01
4.676767676767676463e+00,8.571428571428567622e-01,1.500000000000000000e+00,8.667258931490795515e-01,-3.340698915158557547e-01,-2.974451445564981270e-02
5.808080808080807955e+00,1.102040816326530503e+00,1.000000000000000000e+00,6.779318919444800029e-01,1.186438459478084129e-01,9.634232233352179112e-03
6.444444444444444642e+00,9.387755102040813426e-01,9.000000000000000222e-01,8.395818875007757809e-01,3.752625159088164297e-01,-2.428807790574797482e-02
2.131313131313131493e+00,-1.510204081632652962e+00,1.000000000000000056e-01,9.995288083427559256e-01,4.822707678900304412e-02,-3.334217749018433125e-02
3.050505050505050608e+00,-2.857142857142858094e-01,2.400000000000000355e+00,6.882346385102294795e-01,5.697299304830353295e-01,-1.337270086822772153e-01
1.848484848484848397e+00,1.428571428571428381e+00,1.700000000000000178e+00,1.109407274060455695e+00,4.127043135670913770e-02,-5.336358996793782311e-02
5.949494949494948948e+00,7.755102040816326259e-01,1.300000000000000044e+00,6.502294904904678541e-01,1.376215951032929985e-01,-2.481987875163424451e-02
6.868686868686868507e+00,-6.122448979591836871e-01,2.600000000000000089e+00,9.717058323241807294e-01,2.464809902121998519e-01,-1.838265900506728390e-01
3.898989898989898784e+00,-1.265306122448979664e+00,5.700000000000000178e+00,1.270930142325535250e+00,2.863603107859818975e-02,-7.732268048255999671e-02
1.989898989898989834e+00,1.020408163265305923e+00,2.800000000000000266e+00,9.072890247579978862e-01,-1.310546552705930956e-01,-3.866997604403876743e-02
4.252525252525252597e+00,1.510204081632652962e+00,9.000000000000000222e-01,9.312280922106587200e-01,-1.889989800948646548e-01,-5.962271965911265792e-03
4.111111111111110716e+00,-1.020408163265306145e+00,1.500000000000000000e+00,5.926325029650364451e-01,-1.979108650553395576e-01,3.438119970530086056e-02
3.050505050505050608e+00,-1.591836734693877542e+00,1.100000000000000089e+00,9.178058372632307282e-01,1.315072933620909344e-02,2.147308119277382618e-02
2.696969696969696795e+00,-1.836734693877551061e+00,5.500000000000000000e+00,1.089029543707796810e+00,-4.422358114262652656e-02,-5.029044093714672183e-03
5.030303030303030276e+00,-1.346938775510204245e+00,2.000000000000000111e-01,1.149400362019585620e+00,2.486944669393471030e-01,-4.992112837513021373e-02
3.898989898989898784e+00,1.836734693877550839e+00,3.000000000000000444e-01,9.525390345731759023e-01,-1.252822652829321259e-01,-1.263830519467465646e-03
2.767676767676767291e+00,-1.918367346938775420e+00,5.500000000000000000e+00,1.096686279933747787e+00,-3.762355647575681139e-02,-7.019711598626836996e-03
6.373737373737373701e+00,-2.857142857142858094e-01,4.299999999999999822e+00,7.795976720899155943e-01,-4.290872335960574380e-01,-7.533615747957113362e-02
2.272727272727272485e+00,-1.673469387755102122e+00,7.000000000000000666e-01,1.003144484406816028e+00,7.752578265567748594e-02,-4.062042360672722674e-02
3.898989898989898784e+00,6.938775510204080454e-01,5.400000000000000355e+00,5.755309224149468550e-01,-2.437868715020678201e-01,-1.497211844036792396e-02
5.242424242424242209e+00,2.040816326530610070e-01,2.000000000000000000e+00,7.636711090926117107e-01,-4.541283167465037240e-01,-6.926724500960478037e-02
1.424242424242424310e+00,8.571428571428567622e-01,6.200000000000000178e+00,9.351074042024506427e-01,7.059898132213256183e-02,-1.579613086850509829e-01
7.151515151515151381e+00,1.020408163265305923e+00,8.000000000000000444e-01,1.015623427201285400e+00,3.681143201048169278e-01,-9.098467440114089977e-02
6.161616161616161769e+00,1.836734693877550839e+00,4.500000000000000000e+00,1.127548095234444103e+00,-1.528684366504452774e-01,-1.172812235199806319e-02
6.444444444444444642e+00,1.020408163265305923e+00,5.100000000000000533e+00,1.158064923241471034e+00,-2.577695433461215657e-01,-1.339920275160137175e-01
3.191919191919192045e+00,4.489795918367343042e-01,6.300000000000000711e+00,9.323023937710746001e-01,-5.434131429288009407e-01,-2.005229895424432141e-01
6.020202020202019888e+00,3.673469387755101678e-01,5.800000000000000711e+00,8.028696342166397049e-01,5.010147860682121479e-01,-8.834949199086923610e-02
