x,y,t
7.491348315614096087e+00,9.005696917987759953e-01,5.095706403090361825e+00
5.335321445640765603e+00,-1.733488681070522119e+00,4.007428754625242284e+00
6.847136292269089708e+00,-1.430870821090368228e+00,5.477103089703112104e+00
7.135327518230313082e+00,1.287027258631292526e+00,1.050120686460104480e+00
7.757325107531770847e+00,5.524565994038206362e-01,3.225760853271545603e+00
7.015775859666327108e+00,8.030061551366118877e-01,6.097863982845669995e+00
3.416111666345657660e+00,-1.610933676142105142e+00,8.255916348092938728e-01
4.286713746403530756e+00,-1.702170334049585954e+00,6.847187929632378989e+00
3.886713499883247547e+00,-8.519548122339872798e-01,1.921359037124983349e-01
4.826983401827025233e+00,-4.475503129261491075e-01,6.842527129830209276e+00
1.506284559978150472e+00,2.426509703507591098e-01,3.675040898749184048e+00
2.660624243353008733e+00,1.122880317775237113e+00,5.786052455344678158e+00
1.804906004664807773e+00,-1.796845262223788264e+00,5.390877277325420103e+00
7.022066707623325854e+00,4.921391548946618677e-01,1.796536026587406631e+00
7.236378595085203536e+00,-1.525625134841892105e+00,6.440506099187534694e+00
7.843286640200251014e+00,-5.938916535017471077e-01,2.622273923311290833e+00
7.779018690899462740e+00,-1.627221701106002172e+00,2.414436043866560411e+00
6.502385835804471270e+00,5.334657359931807008e-01,2.666065731330849786e+00
3.294045291768339379e+00,-6.349825218374745006e-01,5.751188808388489893e-01
1.791925307046625448e+00,-1.808459701531159869e+00,6.512694934888277665e+00
1.635629300317982038e+00,2.852728165297677698e-01,2.618383793617598432e+00
5.768381540799246920e+00,-1.936670385413786555e+00,5.579634926498987291e+00
7.891754546207748078e+00,1.025072929841433389e+00,2.041256182431551824e+00
1.382902587167595065e+00,7.831800312924754870e-01,9.197840578277098889e-01
1.799773643001063572e+00,5.557632648903014783e-01,4.151209612232709123e-01
4.165177919405921969e+00,-1.239437615642420720e+00,6.636571486316528379e+00
7.487494708011478650e+00,-1.190216453516035333e+00,4.596910579881864578e+00
4.912222288889877220e+00,1.535374173783925933e+00,1.575195965532476539e-01
2.685929774646824253e+00,1.807359953227125615e-01,6.843750461663452356e+00
6.228799679255769384e+00,-1.127847179556117130e+00,5.126060209441378746e+00
2.642143776946715761e+00,7.375814994867502250e-02,6.031362342281304301e+00
2.566835228235002653e+00,5.167478830146920998e-02,4.917695415251272628e+00
3.170866408800577130e+00,-1.723463696084961416e+00,2.651854241466045981e+00
5.442771512687182955e+00,5.489647529531898051e-01,6.696001895589956732e+00
3.736693064108777662e+00,-9.513327313647179651e-02,2.404336799100080135e+00
5.804064021258008133e+00,7.824881755739969691e-01,6.056542194492202213e+00
3.829919528258571404e+00,-1.171289115379203327e+00,4.412199311823447267e+00
6.278674499366285744e+00,-9.482528899097255604e-01,3.109216817297196123e+00
4.028086417778066419e+00,1.680995847502059881e+00,5.602531166257973538e-01
1.768052053770568399e+00,1.842715952862340245e+00,4.073671122109142395e+00
5.031284666188429178e+00,-8.239848006449914664e-01,5.036927471269616596e+00
6.841559809090659527e+00,1.372874182619628680e+00,3.366811961790086016e-01
4.451136765187576394e+00,-2.201270964266055508e-01,3.089109396803213059e+00
4.079579534607574942e+00,1.437349640247669313e+00,3.151762216035151720e+00
5.911183549881911858e+00,-1.252310409445227979e+00,6.568685590212131942e+00
4.145672807765149237e+00,-1.321955142278987250e+00,2.448589223713075747e+00
2.982060459432303912e+00,-1.644276139049198004e+00,2.792931354337158556e+00
4.831904955464928264e+00,7.993834763714335878e-02,6.166043051674238384e+00
1.724725706671032199e+00,-1.812936575388494287e+00,2.874629450433723310e-01
2.824843414475302517e+00,1.394235013379022892e+00,1.272010752902493325e+00
1.451337875270923394e+00,-8.868742187460392223e-01,3.363723719256660694e+00
2.211322549521030467e+00,-1.229717228523928174e+00,3.045018776042619280e+00
6.057287123632455028e+00,1.309176921325078347e+00,2.872888275158167470e+00
6.219366611995268634e+00,1.247087852761081361e+00,8.547580767792533063e-01
7.673812672236575594e+00,8.246441296031159496e-01,4.419314371143174824e+00
5.963245705790004791e+00,1.102057360626929938e+00,5.533225003767209493e+00
1.582056325716680423e+00,-1.419196829892982681e+00,4.407230617605772061e+00
3.559682811422695270e+00,-5.417190634227821988e-01,2.499765893729806621e+00
3.649975935620307865e+00,1.912357177546462506e+00,8.988013121728983812e-01
3.974240940059245997e+00,1.796838837022635804e+00,2.368921064169306590e+00
7.409664040661534834e+00,-1.100650912611512933e+00,5.575543451301364861e+00
6.301024157197748110e+00,-4.897543631680334464e-01,9.765616782171322452e-01
